ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
A00,Cholera,Cholera,Cholera,Cholera,Cólera,A00   Colera
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Cólera devida a Vibrio cholerae 01, biótipo cholerae",A00.0 Colera dev Vibrio cholerae 01 biot cholerae
A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","Cólera devida a Vibrio cholerae 01, biótipo El Tor",A00.1 Colera dev Vibrio cholerae 01 biot El Tor
A009,"Cholera, unspecified","Cholera, unspecified","Cholera, unspecified","Cholera, unspecified",Cólera não especificada,A00.9 Colera NE
A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,Febres tifóide e paratifóide,A01   Febres tifoide e paratifoide
A010,Typhoid fever,Typhoid fever,Typhoid fever,Typhoid fever,Febre tifóide,A01.0 Febre tifoide
A011,Paratyphoid fever A,Paratyphoid fever A,Paratyphoid fever A,Paratyphoid fever A,Febre paratifóide A,A01.1 Febre paratifoide A
A012,Paratyphoid fever B,Paratyphoid fever B,Paratyphoid fever B,Paratyphoid fever B,Febre paratifóide B,A01.2 Febre paratifoide B
A013,Paratyphoid fever C,Paratyphoid fever C,Paratyphoid fever C,Paratyphoid fever C,Febre paratifóide C,A01.3 Febre paratifoide C
A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",Febre paratifóide não especificada,A01.4 Febre paratifoide NE
A02,Other salmonella infections,Other salmonella infections,Other salmonella infections,Other salmonella infections,Outras infecções por Salmonella,A02   Outr infecc p/Salmonella
A020,Salmonella enteritis,Salmonella enteritis,Salmonella enteritis,Salmonella enteritis,Enterite por salmonela,A02.0 Enterite p/salmonela
A021,Salmonella septicaemia,Salmonella septicaemia,Salmonella septicaemia,Salmonella septicaemia,Septicemia por salmonela,A02.1 Septicemia p/salmonela
