1,A00,Cholera,Cholera,Cholera,Cholera,Cólera,A00   Colera,
2,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","Cólera devida a Vibrio cholerae 01, biótipo cholerae",A00.0 Colera dev Vibrio cholerae 01 biot cholerae,
3,A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","Cólera devida a Vibrio cholerae 01, biótipo El Tor",A00.1 Colera dev Vibrio cholerae 01 biot El Tor,
4,A009,"Cholera, unspecified","Cholera, unspecified","Cholera, unspecified","Cholera, unspecified",Cólera não especificada,A00.9 Colera NE,
5,A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,Febres tifóide e paratifóide,A01   Febres tifoide e paratifoide,
6,A010,Typhoid fever,Typhoid fever,Typhoid fever,Typhoid fever,Febre tifóide,A01.0 Febre tifoide,
7,A011,Paratyphoid fever A,Paratyphoid fever A,Paratyphoid fever A,Paratyphoid fever A,Febre paratifóide A,A01.1 Febre paratifoide A,
8,A012,Paratyphoid fever B,Paratyphoid fever B,Paratyphoid fever B,Paratyphoid fever B,Febre paratifóide B,A01.2 Febre paratifoide B,
9,A013,Paratyphoid fever C,Paratyphoid fever C,Paratyphoid fever C,Paratyphoid fever C,Febre paratifóide C,A01.3 Febre paratifoide C,
10,A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",Febre paratifóide não especificada,A01.4 Febre paratifoide NE,
11,A02,Other salmonella infections,Other salmonella infections,Other salmonella infections,Other salmonella infections,Outras infecções por Salmonella,A02   Outr infecc p/Salmonella,
12,A020,Salmonella enteritis,Salmonella enteritis,Salmonella enteritis,Salmonella enteritis,Enterite por salmonela,A02.0 Enterite p/salmonela,
13,A021,Salmonella septicaemia,Salmonella septicaemia,Salmonella septicaemia,Salmonella septicaemia,Septicemia por salmonela,A02.1 Septicemia p/salmonela,
14,A022,Localized salmonella infections,Localized salmonella infections,Localized salmonella infections,Localized salmonella infections,Infecções localizadas por salmonela,A02.2 Infecc localizadas p/salmonela,
15,A028,Other specified salmonella infections,Other specified salmonella infections,Other specified salmonella infections,Other specified salmonella infections,Outras infecções especificadas por salmonela,A02.8 Outr infecc espec p/salmonela,
16,A029,"Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified",Infecção não especificada por salmonela,A02.9 Infecc NE p/salmonela,
17,A03,Shigellosis,Shigellosis,Shigellosis,Shigellosis,Shiguelose,A03   Shiguelose,
18,A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shiguelose devida a Shigella dysenteriae,A03.0 Shiguelose dev Shigella dysenteriae,
19,A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shiguelose devida a Shigella flexneri,A03.1 Shiguelose dev Shigella flexneri,
20,A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shiguelose devida a Shigella boydii,A03.2 Shiguelose dev Shigella boydii,
21,A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shiguelose devida a Shigella sonnei,A03.3 Shiguelose dev Shigella sonnei,
22,A038,Other shigellosis,Other shigellosis,Other shigellosis,Other shigellosis,Outras shigueloses,A03.8 Outr shigueloses,
23,A039,"Shigellosis, unspecified","Shigellosis, unspecified","Shigellosis, unspecified","Shigellosis, unspecified",Shiguelose não especificada,A03.9 Shiguelose NE,
24,A04,Other bacterial intestinal infections,Other bacterial intestinal infections,Other bacterial intestinal infections,Other bacterial intestinal infections,Outras infecções intestinais bacterianas,A04   Outr infecc intestinais bacter,
25,A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Infecção por Escherichia coli enteropatogênica,A04.0 Infecc p/Escherichia coli enteropatogenica,
26,A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Infecção por Escherichia coli enterotoxigênica,A04.1 Infecc p/Escherichia coli enterotoxigenica,
27,A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Infecção por Escherichia coli enteroinvasiva,A04.2 Infecc p/Escherichia coli enteroinvasiva,
28,A043,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,Infecção por Escherichia coli enterohemorrágica,A04.3 Infecc p/Escherichia coli enterohemorragica,
29,A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Outras infecções intestinais por Escherichia coli,A04.4 Outr infecc intestinais p/Escherichia coli,
30,A045,Campylobacter enteritis,Campylobacter enteritis,Campylobacter enteritis,Campylobacter enteritis,Enterite por Campylobacter,A04.5 Enterite p/Campylobacter,
31,A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Enterite devida a Yersinia enterocolítica,A04.6 Enterite dev Yersinia enterocolitica,
32,A047,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,Enterocolite devida a Clostridium difficile,A04.7 Enterocolite dev Clostridium difficile,
